24914 -- Apr 30 01:24:27 localhost CEF:0|Linux|iptables|ver|0|Dropped packet - UDP|0|deviceInboundInterface=enp0s3 dmac=ff:ff:ff:ff:ff:ff smac=50:7b:9d:d3:9e:f6 src=192.168.100.100 dst=192.168.100.255 proto=UDP spt=57621 dpt=57621 rawEvent=Apr 30 01:24:27 localhost kernel: IN=enp0s3 OUT= MAC=ff:ff:ff:ff:ff:ff:50:7b:9d:d3:9e:f6:08:00 SRC=192.168.100.100 DST=192.168.100.255 LEN=72 TOS=0x00 PREC=0x00 TTL=128 ID=14097 PROTO=UDP SPT=57621 DPT=57621 LEN=52 
24923 -- May  1 18:24:38 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50777 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3593 reason=password rawEvent=May  1 18:24:38 localhost sshd[3593]: Failed password for secmon from 192.168.100.100 port 50777 ssh2

24924 -- May  1 18:24:42 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50780 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3606 reason=password rawEvent=May  1 18:24:42 localhost sshd[3606]: Failed password for secmon from 192.168.100.100 port 50780 ssh2

24925 -- May  1 18:24:44 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50780 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3606 reason=password rawEvent=May  1 18:24:44 localhost sshd[3606]: Failed password for secmon from 192.168.100.100 port 50780 ssh2

24926 -- May  1 18:24:47 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50780 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3606 reason=password rawEvent=May  1 18:24:47 localhost sshd[3606]: Failed password for secmon from 192.168.100.100 port 50780 ssh2

24927 -- May  1 18:28:39 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50832 outcome=failure app=SSHv2 destinationServiceName=sshd duser=root dpid=3669 reason=password rawEvent=May  1 18:28:39 localhost sshd[3669]: Failed password for root from 192.168.100.100 port 50832 ssh2

24928 -- May  1 18:28:45 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50832 outcome=failure app=SSHv2 destinationServiceName=sshd duser=root dpid=3669 reason=password rawEvent=May  1 18:28:45 localhost sshd[3669]: Failed password for root from 192.168.100.100 port 50832 ssh2

24929 -- May  1 18:28:45 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50832 outcome=failure app=SSHv2 destinationServiceName=sshd duser=root dpid=3669 reason=password rawEvent=May  1 18:28:45 localhost sshd[3669]: Failed password for root from 192.168.100.100 port 50832 ssh2

24930 -- May  2 01:29:56 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout userRights=root cmnd=/sbin/service rawEvent=May  2 01:29:56 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout ; USER=root ; COMMAND=/sbin/service secmon-normalizer status

24931 -- May  3 10:53:03 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/sbin/service rawEvent=May  3 10:53:03 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/sbin/service secmon-middleware status

24932 -- May  3 10:53:07 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/ls rawEvent=May  3 10:53:07 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/ls

24933 -- May  3 10:54:31 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/2 pwd=/home/matus userRights=root cmnd=/bin/vim rawEvent=May  3 10:54:31 localhost sudo:   matus : TTY=pts/2 ; PWD=/home/matus ; USER=root ; COMMAND=/bin/vim middleware_status

24934 -- May  3 10:58:39 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/sbin/service rawEvent=May  3 10:58:39 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/sbin/service secmon-correlator stop

24935 -- May  3 11:00:00 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:00:00 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput

24936 -- May  3 11:00:20 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:00:20 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --debug=7

24937 -- May  3 11:00:43 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:00:43 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput -intevents

24938 -- May  3 11:00:54 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:00:54 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents

24939 -- May  3 11:01:16 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50245 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=2723 reason=password rawEvent=May  3 11:01:16 localhost sshd[2723]: Failed password for secmon from 192.168.100.100 port 50245 ssh2

24940 -- May  3 11:01:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50245 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=2723 reason=password rawEvent=May  3 11:01:18 localhost sshd[2723]: Failed password for secmon from 192.168.100.100 port 50245 ssh2

24941 -- May  3 11:01:21 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50245 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=2723 reason=password rawEvent=May  3 11:01:21 localhost sshd[2723]: Failed password for secmon from 192.168.100.100 port 50245 ssh2

24942 -- May  3 11:01:38 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50251 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=2820 reason=password rawEvent=May  3 11:01:38 localhost sshd[2820]: Failed password for secmon from 192.168.100.100 port 50251 ssh2

24943 -- May  3 11:01:42 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50251 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=2820 reason=password rawEvent=May  3 11:01:42 localhost sshd[2820]: Failed password for secmon from 192.168.100.100 port 50251 ssh2

24944 -- May  3 11:01:47 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50251 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=2820 reason=password rawEvent=May  3 11:01:47 localhost sshd[2820]: Failed password for secmon from 192.168.100.100 port 50251 ssh2

24945 -- May  3 11:02:41 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:02:41 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents

24946 -- May  3 11:03:07 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50254 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3162 reason=password rawEvent=May  3 11:03:07 localhost sshd[3162]: Failed password for secmon from 192.168.100.100 port 50254 ssh2

24947 -- May  3 11:03:18 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50254 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3162 reason=password rawEvent=May  3 11:03:18 localhost sshd[3162]: Failed password for secmon from 192.168.100.100 port 50254 ssh2

24948 -- May  3 11:03:24 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50255 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3262 reason=password rawEvent=May  3 11:03:24 localhost sshd[3262]: Failed password for secmon from 192.168.100.100 port 50255 ssh2

24949 -- May  3 11:05:33 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/kill rawEvent=May  3 11:05:33 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/kill -9 3304

24950 -- May  3 11:06:30 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:06:30 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents

24951 -- May  3 11:06:35 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:06:35 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents

24952 -- May  3 11:06:43 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50264 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3633 reason=password rawEvent=May  3 11:06:43 localhost sshd[3633]: Failed password for secmon from 192.168.100.100 port 50264 ssh2

24953 -- May  3 11:06:49 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50264 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3633 reason=password rawEvent=May  3 11:06:49 localhost sshd[3633]: Failed password for secmon from 192.168.100.100 port 50264 ssh2

24954 -- May  3 11:06:54 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50264 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3633 reason=password rawEvent=May  3 11:06:54 localhost sshd[3633]: Failed password for secmon from 192.168.100.100 port 50264 ssh2

24955 -- May  3 11:07:05 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50266 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3718 reason=password rawEvent=May  3 11:07:05 localhost sshd[3718]: Failed password for secmon from 192.168.100.100 port 50266 ssh2

24956 -- May  3 11:07:17 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50266 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3718 reason=password rawEvent=May  3 11:07:17 localhost sshd[3718]: Failed password for secmon from 192.168.100.100 port 50266 ssh2

24957 -- May  3 11:07:22 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50266 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3718 reason=password rawEvent=May  3 11:07:22 localhost sshd[3718]: Failed password for secmon from 192.168.100.100 port 50266 ssh2

24958 -- May  3 11:08:09 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:08:09 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents

24959 -- May  3 11:09:09 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:09:09 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents

24960 -- May  3 11:09:17 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50270 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3888 reason=password rawEvent=May  3 11:09:17 localhost sshd[3888]: Failed password for secmon from 192.168.100.100 port 50270 ssh2

24961 -- May  3 11:09:21 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50270 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3888 reason=password rawEvent=May  3 11:09:21 localhost sshd[3888]: Failed password for secmon from 192.168.100.100 port 50270 ssh2

24962 -- May  3 11:09:25 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50270 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=3888 reason=password rawEvent=May  3 11:09:25 localhost sshd[3888]: Failed password for secmon from 192.168.100.100 port 50270 ssh2

24963 -- May  3 11:10:12 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:10:12 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=1

24964 -- May  3 11:10:20 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50275 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4069 reason=password rawEvent=May  3 11:10:20 localhost sshd[4069]: Failed password for secmon from 192.168.100.100 port 50275 ssh2

24965 -- May  3 11:10:23 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50275 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4069 reason=password rawEvent=May  3 11:10:23 localhost sshd[4069]: Failed password for secmon from 192.168.100.100 port 50275 ssh2

24966 -- May  3 11:10:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50275 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4069 reason=password rawEvent=May  3 11:10:26 localhost sshd[4069]: Failed password for secmon from 192.168.100.100 port 50275 ssh2

24967 -- May  3 11:11:15 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50298 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4171 reason=password rawEvent=May  3 11:11:15 localhost sshd[4171]: Failed password for secmon from 192.168.100.100 port 50298 ssh2

24968 -- May  3 11:11:19 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50295 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4153 reason=password rawEvent=May  3 11:11:19 localhost sshd[4153]: Failed password for matus from 192.168.100.100 port 50295 ssh2

24969 -- May  3 11:11:24 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50295 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4153 reason=password rawEvent=May  3 11:11:24 localhost sshd[4153]: Failed password for matus from 192.168.100.100 port 50295 ssh2

24970 -- May  3 11:11:27 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50298 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4171 reason=password rawEvent=May  3 11:11:27 localhost sshd[4171]: Failed password for secmon from 192.168.100.100 port 50298 ssh2

24971 -- May  3 11:11:31 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50298 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4171 reason=password rawEvent=May  3 11:11:31 localhost sshd[4171]: Failed password for secmon from 192.168.100.100 port 50298 ssh2

24972 -- May  3 11:11:36 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50295 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4153 reason=password rawEvent=May  3 11:11:36 localhost sshd[4153]: Failed password for matus from 192.168.100.100 port 50295 ssh2

24973 -- May  3 11:15:04 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50342 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4373 reason=password rawEvent=May  3 11:15:04 localhost sshd[4373]: Failed password for matus from 192.168.100.100 port 50342 ssh2

24974 -- May  3 11:15:05 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50342 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4373 reason=password rawEvent=May  3 11:15:05 localhost sshd[4373]: Failed password for matus from 192.168.100.100 port 50342 ssh2

24975 -- May  3 11:15:24 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50345 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4446 reason=password rawEvent=May  3 11:15:24 localhost sshd[4446]: Failed password for matus from 192.168.100.100 port 50345 ssh2

24976 -- May  3 11:15:24 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50345 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4446 reason=password rawEvent=May  3 11:15:24 localhost sshd[4446]: Failed password for matus from 192.168.100.100 port 50345 ssh2

24977 -- May  3 11:15:45 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50346 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4470 reason=password rawEvent=May  3 11:15:45 localhost sshd[4470]: Failed password for matus from 192.168.100.100 port 50346 ssh2

24978 -- May  3 11:15:46 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50346 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4470 reason=password rawEvent=May  3 11:15:46 localhost sshd[4470]: Failed password for matus from 192.168.100.100 port 50346 ssh2

24979 -- May  3 11:18:04 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50356 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4623 reason=password rawEvent=May  3 11:18:04 localhost sshd[4623]: Failed password for matus from 192.168.100.100 port 50356 ssh2

24980 -- May  3 11:18:07 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50355 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4619 reason=password rawEvent=May  3 11:18:07 localhost sshd[4619]: Failed password for secmon from 192.168.100.100 port 50355 ssh2

24981 -- May  3 11:18:08 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50355 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4619 reason=password rawEvent=May  3 11:18:08 localhost sshd[4619]: Failed password for secmon from 192.168.100.100 port 50355 ssh2

24982 -- May  3 11:18:11 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50356 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4623 reason=password rawEvent=May  3 11:18:11 localhost sshd[4623]: Failed password for matus from 192.168.100.100 port 50356 ssh2

24983 -- May  3 11:18:26 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50358 outcome=failure app=SSHv2 destinationServiceName=sshd duser=secmon dpid=4649 reason=password rawEvent=May  3 11:18:26 localhost sshd[4649]: Failed password for secmon from 192.168.100.100 port 50358 ssh2

24984 -- May  3 11:18:39 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50359 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4658 reason=password rawEvent=May  3 11:18:39 localhost sshd[4658]: Failed password for matus from 192.168.100.100 port 50359 ssh2

24985 -- May  3 11:18:41 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50359 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=4658 reason=password rawEvent=May  3 11:18:41 localhost sshd[4658]: Failed password for matus from 192.168.100.100 port 50359 ssh2

24986 -- May  3 11:21:31 localhost CEF:0|Linux|sudo|0|0|sudo command usage|0| user=matus tty=pts/0 pwd=/home/matus/sec_tryout/sec_pass_parent userRights=root cmnd=/bin/sec rawEvent=May  3 11:21:31 localhost sudo:   matus : TTY=pts/0 ; PWD=/home/matus/sec_tryout/sec_pass_parent ; USER=root ; COMMAND=/bin/sec -conf=ssh_corr.rule -input=/var/www/html/secmon/__secOutput --intevents --debug=1

24987 -- May  3 11:21:43 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50368 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5063 reason=password rawEvent=May  3 11:21:43 localhost sshd[5063]: Failed password for matus from 192.168.100.100 port 50368 ssh2

24988 -- May  3 11:21:45 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50368 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5063 reason=password rawEvent=May  3 11:21:45 localhost sshd[5063]: Failed password for matus from 192.168.100.100 port 50368 ssh2

24989 -- May  3 11:21:48 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50368 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5063 reason=password rawEvent=May  3 11:21:48 localhost sshd[5063]: Failed password for matus from 192.168.100.100 port 50368 ssh2

24990 -- May  3 11:21:54 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50369 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5125 reason=password rawEvent=May  3 11:21:54 localhost sshd[5125]: Failed password for matus from 192.168.100.100 port 50369 ssh2

24991 -- May  3 11:21:57 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50369 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5125 reason=password rawEvent=May  3 11:21:57 localhost sshd[5125]: Failed password for matus from 192.168.100.100 port 50369 ssh2

24992 -- May  3 11:22:00 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50369 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5125 reason=password rawEvent=May  3 11:22:00 localhost sshd[5125]: Failed password for matus from 192.168.100.100 port 50369 ssh2

24993 -- May  3 11:22:08 localhost CEF:0|Security|sshd|0|130|Wrong password|0|src=192.168.100.100 dpt=50370 outcome=failure app=SSHv2 destinationServiceName=sshd duser=matus dpid=5179 reason=password rawEvent=May  3 11:22:08 localhost sshd[5179]: Failed password for matus from 192.168.100.100 port 50370 ssh2

